id,type,logic,pathway,logFC
RASGRF1,gene,,path:hsa04010,4.11654
RASGRF2,gene,,path:hsa04010,-0.535876
fu:af0d9443,functional_unit,OR,path:hsa04010,
DUSP10,gene,,path:hsa04010,-0.286146
DUSP1,gene,,path:hsa04010,-1.38667
DUSP2,gene,,path:hsa04010,-0.562012
DUSP4,gene,,path:hsa04010,2.39998
DUSP5,gene,,path:hsa04010,2.11214
DUSP6,gene,,path:hsa04010,2.24118
DUSP7,gene,,path:hsa04010,0.460727
DUSP8,gene,,path:hsa04010,0.417305
DUSP9,gene,,path:hsa04010,0.552695
DUSP16,gene,,path:hsa04010,-0.0886686
fu:8ba09d10,functional_unit,OR,path:hsa04010,
DUSP3,gene,,path:hsa04010,-0.103333
PTPN7,gene,,path:hsa04010,-0.0676047
PTPRR,gene,,path:hsa04010,0.750965
PTPN5,gene,,path:hsa04010,0.303387
fu:bb944cdb,functional_unit,OR,path:hsa04010,
PPM1B,gene,,path:hsa04010,-0.281325
fu:adb8540f,functional_unit,SINGLE,path:hsa04010,
FASLG,gene,,path:hsa04010,-0.469873
fu:1042a03c,functional_unit,SINGLE,path:hsa04010,
MAP4K4,gene,,path:hsa04010,0.837173
fu:f4894399,functional_unit,SINGLE,path:hsa04010,
PLA2G4B,gene,,path:hsa04010,
PLA2G4E,gene,,path:hsa04010,-0.117603
PLA2G4F,gene,,path:hsa04010,-1.99594
PLA2G4D,gene,,path:hsa04010,0.0833023
PLA2G4A,gene,,path:hsa04010,-0.845108
PLA2G4C,gene,,path:hsa04010,-0.467076
JMJD7-PLA2G4B,gene,,path:hsa04010,-0.114633
fu:830b8929,functional_unit,OR,path:hsa04010,
STMN1,gene,,path:hsa04010,0.759864
fu:d2d0b145,functional_unit,SINGLE,path:hsa04010,
